Soilhzn,PSAND,PSILT,PCLAY,ORGMAT,BDENS
      starb1_M01KV03, 94.5,  5.5,  0.0,  2.5,1.484
      starb2_M01KV03, 86.0, 14.0,  0.0,  6.5,1.416
      starb3_M01KV03, 76.0, 24.0,  0.0,  8.5,1.369
      starb4_M01KV03, 57.0, 43.0,  0.0,  3.5,1.381
      starb5_M01KV03, 57.0, 43.0,  0.0,  3.5,1.593
      starb6_M01KV03, 57.0, 43.0,  0.0,  3.5,1.583
      starb7_M01KV03, 89.0,  0.0, 11.0,  4.0,1.534
      starb8_M01KV03, 86.0,  0.0, 14.0,  2.5,1.471
      starb9_M01KV03, 78.5,  0.0, 21.5,  2.5,1.479
     starb10_M01KV03, 70.0,  0.0, 30.0,  3.5,1.365
     starb11_M01KV03, 57.5,  0.0, 42.5,  9.5,0.940
     starb12_M01KV03, 36.0,  0.0, 64.0,  4.0,1.146
     starb13_M01KV03, 36.0,  0.0, 64.0,  4.0,1.494
     starb14_M01KV03,  7.5, 92.5,  0.0,  1.0,1.533
     starb15_M01KV03,  7.5, 92.5,  0.0,  1.0,1.181
     starb16_M01KV03, 97.0,  0.0,  3.0, 38.0,0.367
     starb17_M01KV03, 51.0,  0.0, 49.0, 31.0,0.527
     starb18_M01KV03, 51.0,  0.0, 49.0, 50.0,0.377
      staro1_M01KV03, 95.0,  5.0,  0.0,  0.5,1.677
      staro2_M01KV03, 87.0, 13.0,  0.0,  1.1,1.611
      staro3_M01KV03, 73.5, 26.5,  0.0,  1.1,1.738
      staro4_M01KV03, 58.0, 42.0,  0.0,  0.6,1.681
      staro5_M01KV03, 96.0,  4.0,  0.0,  0.6,1.754
      staro6_M01KV03, 61.5, 38.5,  0.0,  0.6,1.763
      staro7_M01KV03, 61.5, 38.5,  0.0,  0.6,1.280
      staro8_M01KV03, 90.0,  0.0, 10.0,  0.7,1.439
      staro9_M01KV03, 86.0,  0.0, 14.0,  1.2,1.420
     staro10_M01KV03, 80.0,  0.0, 20.0,  0.6,1.390
     staro11_M01KV03, 69.5,  0.0, 30.5,  1.5,1.402
     staro12_M01KV03, 58.0,  0.0, 42.0,  0.6,1.099
     staro13_M01KV03, 35.5,  0.0, 64.5,  0.6,1.065
     staro14_M01KV03, 33.0, 67.0,  0.0,  0.6,1.601
     staro15_M01KV03, 10.0, 90.0,  0.0,  0.6,1.557
     staro16_M01KV03,100.0,  0.0,  0.0, 93.0,0.117
     staro17_M01KV03,100.0,  0.0,  0.0, 76.5,0.192
     staro18_M01KV03,100.0,  0.0,  0.0, 76.5,0.615
  starb1_85p_M01KV03, 94.5,  5.5,  0.0,  2.5,1.657
  starb2_85p_M01KV03, 86.0, 14.0,  0.0,  6.5,1.585
  starb3_85p_M01KV03, 76.0, 24.0,  0.0,  8.5,1.539
  starb4_85p_M01KV03, 57.0, 43.0,  0.0,  3.5,1.566
  starb5_85p_M01KV03, 57.0, 43.0,  0.0,  3.5,1.745
  starb6_85p_M01KV03, 57.0, 43.0,  0.0,  3.5,1.737
  starb7_85p_M01KV03, 89.0,  0.0, 11.0,  4.0,1.694
  starb8_85p_M01KV03, 86.0,  0.0, 14.0,  2.5,1.645
  starb9_85p_M01KV03, 78.5,  0.0, 21.5,  2.5,1.652
 starb10_85p_M01KV03, 70.0,  0.0, 30.0,  3.5,1.544
 starb11_85p_M01KV03, 57.5,  0.0, 42.5,  9.5,1.164
 starb12_85p_M01KV03, 36.0,  0.0, 64.0,  4.0,1.357
 starb13_85p_M01KV03, 36.0,  0.0, 64.0,  4.0,1.660
 starb14_85p_M01KV03,  7.5, 92.5,  0.0,  1.0,1.704
 starb15_85p_M01KV03,  7.5, 92.5,  0.0,  1.0,1.397
 starb16_85p_M01KV03, 97.0,  0.0,  3.0, 38.0,0.607
 starb17_85p_M01KV03, 51.0,  0.0, 49.0, 31.0,0.758
 starb18_85p_M01KV03, 51.0,  0.0, 49.0, 50.0,0.593
  staro1_85p_M01KV03, 95.0,  5.0,  0.0,  0.5,1.828
  staro2_85p_M01KV03, 87.0, 13.0,  0.0,  1.1,1.770
  staro3_85p_M01KV03, 73.5, 26.5,  0.0,  1.1,1.877
  staro4_85p_M01KV03, 58.0, 42.0,  0.0,  0.6,1.830
  staro5_85p_M01KV03, 96.0,  4.0,  0.0,  0.6,1.892
  staro6_85p_M01KV03, 61.5, 38.5,  0.0,  0.6,1.900
  staro7_85p_M01KV03, 61.5, 38.5,  0.0,  0.6,1.491
  staro8_85p_M01KV03, 90.0,  0.0, 10.0,  0.7,1.625
  staro9_85p_M01KV03, 86.0,  0.0, 14.0,  1.2,1.607
 staro10_85p_M01KV03, 80.0,  0.0, 20.0,  0.6,1.584
 staro11_85p_M01KV03, 69.5,  0.0, 30.5,  1.5,1.582
 staro12_85p_M01KV03, 58.0,  0.0, 42.0,  0.6,1.329
 staro13_85p_M01KV03, 35.5,  0.0, 64.5,  0.6,1.301
 staro14_85p_M01KV03, 33.0, 67.0,  0.0,  0.6,1.762
 staro15_85p_M01KV03, 10.0, 90.0,  0.0,  0.6,1.726
 staro16_85p_M01KV03,100.0,  0.0,  0.0, 93.0,0.314
 staro17_85p_M01KV03,100.0,  0.0,  0.0, 76.5,0.397
 staro18_85p_M01KV03,100.0,  0.0,  0.0, 76.5,0.755
